Codes_Insee;Communes;RATIO_2A_FREQ_CRECHE;ENF_MOINS_3;ENF_3_6;CRECHE_PL_DISPO;NB_CRECHE;NB_SAGE;NB_PHARMA;NB_MATERNELLE;NB_ECOLE_ELEM;POP;LATITUDE;LONGITUDE
99999;HORS TERRITOIRE DE COMPETENCE DE LA CAF;1;8;6335;0;0;0;0;0;0;0;0;0
XXXXX;COMMUNES INCONNUES INSEE;1;103;2126;0;0;0;0;0;0;0;0;0
1001;L'ABERGEMENT-CLEMENCIAT;1;0;34;0;0;0;0;0;1;0,8;46.153741384685397;4.925851941547810
1002;L'ABERGEMENT-DE-VAREY;1;0;10;0;0;0;0;0;0;0,2;46.009629829372997;5.427989260243780
1004;AMBERIEU-EN-BUGEY;0,88;44;636;50;1;2;3;1;2;13,4;45.961142238052297;5.372193645498900
1005;AMBERIEUX-EN-DOMBES;1;0;73;0;0;0;1;0;1;1,6;45.996181768691599;4.911988832096930
1006;AMBLEON;1;0;0;0;0;0;0;0;0;0,1;45.749892098954803;5.594516262763200
1007;AMBRONAY;1;0;108;0;0;0;1;1;1;2,3;46.005770605993902;5.357675879685570
1008;AMBUTRIX;1;0;37;0;0;0;0;0;1;0,7;45.936732351637097;5.332348798015130
1009;ANDERT-ET-CONDON;1;0;12;0;0;0;0;0;0;0,3;45.787166937267898;5.657818963506030
1010;ANGLEFORT;1;0;42;0;0;0;0;0;1;1;45.909107951087996;5.794865346862100
1011;APREMONT;1;0;15;0;0;0;0;0;0;0,4;46.205711201740897;5.658009218018460
1012;ARANC;1;0;12;0;0;0;0;0;0;0,3;46.001302202593202;5.511120202360370
1013;ARANDAS;1;0;0;0;0;0;0;0;1;0,2;45.890207716166998;5.499062145751310
1014;ARBENT;0,277777778;5;116;18;1;1;2;2;2;3,5;46.283639287306897;5.690727464646010
1015;ARBIGNIEU;1;0;9;0;0;0;0;0;1;0,5;45.723945610846997;5.652341549023890
1016;ARBIGNY;1;0;21;0;0;0;0;0;0;0,4;46.477618994898599;4.959987509425400
1017;ARGIS;1;0;25;0;0;0;0;0;1;0,4;45.933449934394702;5.482540269732170
1019;ARMIX;1;0;0;0;0;0;0;0;0;0;45.854288926466801;5.582708699336480
1021;ARS-SUR-FORMANS;1;0;51;0;0;0;1;0;2;1,3;45.993576752519203;4.821966234072840
1022;ARTEMARE;1;0;37;0;0;0;1;1;1;1,1;45.869655504473300;5.690096546161320
1023;ASNIERES-SUR-SAONE;1;0;0;0;0;0;0;0;0;0,1;46.385222274748898;4.883673546236200
1024;ATTIGNAT;1;0;159;0;0;0;1;0;2;2,9;46.286088458367701;5.179854976919120
1025;BAGE-LA-VILLE;0;0;142;18;1;0;1;1;1;3;46.323573578228398;4.953281511264880
1026;BAGE-LE-CHATEL;1;0;21;0;0;0;0;0;0;0,8;46.308290300676703;4.929855339139250
1027;BALAN;1;0;77;0;0;0;0;1;1;2,4;45.830958268190102;5.107984015823250
1028;BANEINS;1;0;22;0;0;1;0;0;1;0,6;46.114097204355403;4.901727308827060
1029;BEAUPONT;1;0;31;0;0;0;0;0;0;0,6;46.428641008447698;5.260319713105060
1030;BEAUREGARD;1;0;34;0;0;0;0;0;1;0,9;46.000781460014302;4.756797336311840
1031;BELLIGNAT;0,6;12;165;20;1;0;1;2;2;3,5;46.238069087151800;5.636207449032570
1032;BELIGNEUX;0,224489796;11;207;49;1;0;1;1;1;2,9;45.859309306505203;5.140347758768270
1033;BELLEGARDE-SUR-VALSERINE;0,4;34;452;85;3;1;6;1;1;11,7;46.106673447723701;5.832511104921910
1034;BELLEY;0,184782609;17;347;92;3;2;4;2;4;8,7;45.749887165089298;5.683850739967610
1035;BELLEYDOUX;1;0;12;0;0;0;0;0;1;0,3;46.253331782924903;5.785128627109760
1036;BELMONT-LUTHEZIEU;1;0;20;0;0;0;0;0;0;0,5;45.885194697580800;5.650683912397750
1037;BENONCES;1;0;11;0;0;0;0;0;1;0,3;45.838208670107903;5.482860533337290
1038;BENY;0;0;25;30;1;0;0;0;1;0,7;46.319406235163001;5.282512245728680
1039;BEON;1;0;20;0;0;0;0;0;1;0,4;45.856562629085701;5.752223366261710
1040;BEREZIAT;1;0;28;0;0;0;0;0;0;0,4;46.367669875528897;5.039968017020100
1041;BETTANT;1;0;37;0;0;0;0;0;1;0,7;45.937694046087302;5.366105113312760
1042;BEY;1;0;9;0;0;0;0;0;0;0,2;46.219587320074901;4.846133828327060
1043;BEYNOST;0;0;173;40;1;0;1;1;1;4,4;45.839506224988902;4.997414741624580
1044;BILLIAT;1;0;20;0;0;0;0;0;1;0,5;46.079171260813801;5.765874876644030
1045;BIRIEUX;1;0;17;0;0;0;0;0;0;0,2;45.953149930065798;5.037300504602250
1046;BIZIAT;1;0;36;0;0;0;0;0;0;0,8;46.226357949243500;4.941085834794840
1047;BLYES;1;0;43;0;0;0;0;0;1;0,9;45.847107073390198;5.251543773371400
1049;LA BOISSE;0,222222222;6;118;27;1;0;3;1;1;2,9;45.844636702604802;5.028340722821290
1050;BOISSEY;1;0;18;0;0;0;0;0;0;0,3;46.373024314213801;4.998860606553820
