Communes;Codes_Insee;NB_Allocataires;ALL_PAJE;ALL_PRIM;ALL_BASEP;ALL_ASMA;ALL_Clca_Colca
HORS TERRITOIRE DE COMPETENCE DE LA CAF;99999;29405;5738;178;5041;985;1136
COMMUNES INCONNUES INSEE;XXXXX;8864;1853;35;1597;437;501
L'ABERGEMENT-CLEMENCIAT;01001;81;27;;18;17;9
L'ABERGEMENT-DE-VAREY;01002;34;11;;;;
AMBERIEU-EN-BUGEY;01004;2481;636;16;511;244;130
AMBERIEUX-EN-DOMBES;01005;231;82;;60;47;16
AMBLEON;01006;13;;;;;
AMBRONAY;01007;338;114;;89;62;36
AMBUTRIX;01008;85;37;;25;20;6
ANDERT-ET-CONDON;01009;36;11;;6;;
ANGLEFORT;01010;140;39;;28;18;14
APREMONT;01011;49;19;;12;14;6
ARANC;01012;33;10;;;;
ARANDAS;01013;12;5;;;;
ARBENT;01014;547;117;7;100;27;38
ARBIGNIEU;01015;53;11;;;;5
ARBIGNY;01016;50;19;;;10;6
ARGIS;01017;59;22;;17;8;
ARMIX;01019;;;;;;
ARS-SUR-FORMANS;01021;196;46;;31;25;15
ARTEMARE;01022;201;40;;32;12;11
ASNIERES-SUR-SAONE;01023;9;;;;;
ATTIGNAT;01024;457;166;9;118;88;56
BAGE-LA-VILLE;01025;429;152;6;107;87;48
BAGE-LE-CHATEL;01026;126;23;;;12;
BALAN;01027;202;66;;48;36;17
BANEINS;01028;63;22;;16;11;5
BEAUPONT;01029;152;25;;;15;8
BEAUREGARD;01030;163;35;;29;12;10
BELLIGNAT;01031;750;150;;130;43;46
BELIGNEUX;01032;497;207;;158;92;53
BELLEGARDE-SUR-VALSERINE;01033;2015;418;14;374;80;86
BELLEY;01034;1705;335;;305;76;94
BELLEYDOUX;01035;33;11;;5;;
BELMONT-LUTHEZIEU;01036;56;25;;18;16;10
BENONCES;01037;22;10;;;;
BENY;01038;82;26;;16;17;12
BEON;01039;57;16;;8;11;
BEREZIAT;01040;60;25;;18;16;
BETTANT;01041;96;43;;32;22;13
BEY;01042;30;11;;6;6;
BEYNOST;01043;568;160;5;106;77;42
BILLIAT;01044;67;18;;;8;5
BIRIEUX;01045;37;18;;;13;6
BIZIAT;01046;105;42;;31;25;7
BLYES;01047;134;39;;22;29;12
LA BOISSE;01049;360;126;;79;63;43
BOISSEY;01050;40;17;;;11;
BOLOZON;01051;8;;;;;
BOULIGNEUX;01052;28;9;;;;
BOURG-EN-BRESSE;01053;8913;1436;47;1236;335;317
BOURG-SAINT-CHRISTOPHE;01054;161;69;;41;45;21
BOYEUX-SAINT-JEROME;01056;33;11;;;;5
BOZ;01057;78;27;;22;15;11
BREGNIER-CORDON;01058;112;30;;;10;12
BRENAZ;01059;6;;;;;
BRENOD;01060;68;24;;17;16;7
BRENS;01061;152;54;;49;22;16
BRESSOLLES;01062;87;26;;17;19;7
BRION;01063;52;12;;;7;
BRIORD;01064;148;40;;30;16;14
BUELLAS;01065;181;59;;42;36;18
LA BURBANCHE;01066;7;;;;;
CEIGNES;01067;41;10;;;;
CERDON;01068;135;35;;29;14;11
CERTINES;01069;192;51;;41;31;19
CESSY;01071;317;65;;40;24;21
CEYZERIAT;01072;482;118;;94;51;41
CEYZERIEU;01073;110;27;;19;11;6
CHALAMONT;01074;389;113;;75;72;24
CHALEINS;01075;162;51;;32;29;13
CHALEY;01076;20;7;;;;
CHALLES-LA-MONTAGNE;01077;20;7;;;;
CHALLEX;01078;63;12;;;;
CHAMPAGNE-EN-VALROMEY;01079;166;23;;15;12;8
CHAMPDOR;01080;53;23;;16;17;6
CHAMPFROMIER;01081;82;21;;11;13;
CHANAY;01082;61;11;;;;
CHANEINS;01083;99;31;;18;20;7
CHANOZ-CHATENAY;01084;106;41;;30;22;11
LA CHAPELLE-DU-CHATELARD;01085;41;21;;;15;
CHARIX;01087;33;9;;;;
CHARNOZ-SUR-AIN;01088;127;32;;13;24;5
CHATEAU-GAILLARD;01089;247;80;;57;46;24
CHATENAY;01090;42;16;;;8;6
CHATILLON-EN-MICHAILLE;01091;368;76;;57;31;20
CHATILLON-LA-PALUD;01092;228;72;;46;48;18
CHATILLON-SUR-CHALARONNE;01093;818;145;;128;59;40
CHAVANNES-SUR-REYSSOUZE;01094;80;26;;;20;9
CHAVANNES-SUR-SURAN;01095;92;33;;22;21;6
CHAVEYRIAT;01096;130;40;;35;19;9
CHAVORNAY;01097;26;9;;;;
CHAZEY-BONS;01098;99;24;;18;13;8
CHAZEY-SUR-AIN;01099;193;54;;41;30;15
