'Communes';'Codes_Insee';'NB_Allocataires';'ALL_PAJE';'ALL_PRIM';'ALL_BASEP';'ALL_CMG';'ALL_CMG_ASMA';'ALL_CMG_DOM';'ALL_CMG_A';'ALL_Clca_Colca'
RESIDENCE A L'ETRANGER;99999;3441;626;8;494;158;146;;9;203
COMMUNES INCONNUES INSEE;XXXXX;5867;1028;59;909;248;223;;19;170
L'ABERGEMENT-CLEMENCIAT;01001;89;22;;14;9;;;;
L'ABERGEMENT-DE-VAREY;01002;32;12;;;7;;;;
AMBERIEU-EN-BUGEY;01004;2652;638;24;512;251;246;5;;131
AMBERIEUX-EN-DOMBES;01005;212;66;;43;48;;;;18
AMBLEON;01006;13;;;;;;;;
AMBRONAY;01007;383;112;;86;61;;;;23
AMBUTRIX;01008;86;33;;14;27;;;;7
ANDERT-ET-CONDON;01009;34;6;;;;;;;
ANGLEFORT;01010;129;28;;17;14;;;;9
APREMONT;01011;45;11;;;6;;;;6
ARANC;01012;38;6;;;;;;;
ARANDAS;01013;10;5;;;;;;;
ARBENT;01014;522;98;;85;24;;;;26
ARBIGNIEU;01015;51;13;;;5;;;;
ARBIGNY;01016;60;16;;;8;;;;
ARGIS;01017;66;22;;;12;;;;7
ARMIX;01019;;;;;;;;;
ARS-SUR-FORMANS;01021;200;53;;41;33;;;;18
ARTEMARE;01022;223;42;;32;21;;;;8
ASNIERES-SUR-SAONE;01023;9;;;;;;;;
ATTIGNAT;01024;468;156;;104;103;;;;33
BAGE-LA-VILLE;01025;415;128;;97;71;;;;46
BAGE-LE-CHATEL;01026;130;34;;;24;;;;9
BALAN;01027;274;121;;88;56;;;;25
BANEINS;01028;66;25;;17;16;;;;
BEAUPONT;01029;162;28;;20;17;;;;9
BEAUREGARD;01030;175;44;;31;25;;;;5
BELLIGNAT;01031;765;154;5;133;47;;;;38
BELIGNEUX;01032;540;203;;154;69;;;;51
BELLEGARDE-SUR-VALSERINE;01033;2050;369;15;314;73;;;;92
BELLEY;01034;1753;319;6;270;88;;;;68
BELLEYDOUX;01035;36;10;;5;;;;;
BELMONT-LUTHEZIEU;01036;68;21;;15;11;;;;
BENONCES;01037;26;9;;;;;;;
BENY;01038;77;20;;;8;;;;6
BEON;01039;71;23;;;12;;;;7
BEREZIAT;01040;60;20;;15;11;;;;7
BETTANT;01041;100;42;;30;25;;;;10
BEY;01042;33;9;;;;;;;
BEYNOST;01043;574;148;;83;93;86;6;;28
BILLIAT;01044;80;17;;9;9;;;;
BIRIEUX;01045;40;19;;11;;;;;5
BIZIAT;01046;112;40;;;24;;;;17
BLYES;01047;143;43;;31;25;;;;10
LA BOISSE;01049;359;105;;63;58;;;;32
BOISSEY;01050;45;19;;;11;;;;5
BOLOZON;01051;6;;;;;;;;
BOULIGNEUX;01052;26;11;;6;;;;;
BOURG-EN-BRESSE;01053;9490;1430;37;1267;349;313;26;;310
BOURG-SAINT-CHRISTOPHE;01054;186;68;;40;43;;;;18
BOYEUX-SAINT-JEROME;01056;44;18;;;12;;;;7
BOZ;01057;78;21;;12;;;;;
BREGNIER-CORDON;01058;116;20;;;8;;;;8
BRENAZ;01059;8;;;;;;;;
BRENOD;01060;64;19;;13;14;;;;
BRENS;01061;146;39;;31;17;;;;15
BRESSOLLES;01062;115;47;;30;33;;;;7
BRION;01063;64;12;;;7;;;;5
BRIORD;01064;149;33;;26;12;;;;13
BUELLAS;01065;218;63;;47;41;;;;17
LA BURBANCHE;01066;5;;;;;;;;
CEIGNES;01067;35;13;;6;;;;;
CERDON;01068;124;23;;;13;;;;8
CERTINES;01069;224;63;;39;38;;;;20
CESSY;01071;347;85;;50;37;;;;21
CEYZERIAT;01072;526;110;;87;49;34;;10;32
CEYZERIEU;01073;106;33;;26;14;;;;11
CHALAMONT;01074;414;98;;73;55;;;;19
CHALEINS;01075;196;60;;47;34;;;;20
CHALEY;01076;10;;;;;;;;
CHALLES-LA-MONTAGNE;01077;26;12;;6;;;;;
CHALLEX;01078;65;19;;12;12;;;;8
CHAMPAGNE-EN-VALROMEY;01079;164;23;;15;13;;;;6
CHAMPDOR;01080;53;17;;10;;;;;
CHAMPFROMIER;01081;95;27;;20;16;;;;5
CHANAY;01082;59;13;;;8;;;;7
CHANEINS;01083;126;39;;24;32;;;;8
CHANOZ-CHATENAY;01084;108;32;;;21;;;;8
LA CHAPELLE-DU-CHATELARD;01085;42;15;;;10;;;;5
CHARIX;01087;34;5;;;;;;;
CHARNOZ-SUR-AIN;01088;111;31;;19;25;;;;7
CHATEAU-GAILLARD;01089;287;97;;71;59;;;;25
CHATENAY;01090;37;14;;8;;;;;
CHATILLON-EN-MICHAILLE;01091;370;91;;67;36;;;;27
CHATILLON-LA-PALUD;01092;209;64;;45;41;;;;20
CHATILLON-SUR-CHALARONNE;01093;822;144;;126;52;;;;31
CHAVANNES-SUR-REYSSOUZE;01094;91;28;;17;22;;;;7
CHAVANNES-SUR-SURAN;01095;102;28;;23;14;;;;9
CHAVEYRIAT;01096;123;44;;;27;;;;18
CHAVORNAY;01097;26;9;;;;;;;
CHAZEY-BONS;01098;128;39;;33;16;;;;15
CHAZEY-SUR-AIN;01099;172;56;;43;35;;;;14
CHEIGNIEU-LA-BALME;01100;14;;;;;;;;
CHEVILLARD;01101;14;5;;;;;;;
CHEVROUX;01102;134;50;;38;33;;;;15
CHEVRY;01103;92;17;;8;8;;;;
CHEZERY-FORENS;01104;41;13;;;6;;;;7
CIVRIEUX;01105;182;59;;39;34;;;;12
CIZE;01106;17;6;;;;;;;
CLEYZIEU;01107;14;;;;;;;;
COLIGNY;01108;168;30;;;15;;;;8
COLLONGES;01109;195;32;;21;11;;;;5
COLOMIEU;01110;15;;;;;;;;
CONAND;01111;16;9;;;;;;;
CONDAMINE;01112;58;20;;14;14;;;;5
CONDEISSIAT;01113;104;36;;30;20;;;;9
